array_size;time_spent(s);PAPI_L1_TCM;PAPI_L2_TCM;PAPI_L3_TCM;DATA_BYTES;NUM_INSTRUCTIONS;PAPI_TOT_INS
2048;0.2990000248;949;249;28;16384;2380342;1265756
2176;0.3290000260;1163;269;27;17408;2549223;1379428
2304;0.3520000279;1264;260;12;18432;2719253;1495186
2432;0.2110000104;1396;276;14;19456;2890366;1610963
2560;0.3590000272;1771;282;19;20480;3062508;1728897
2688;0.1920000017;1834;253;15;21504;3235625;1844691
2816;0.2360000163;2022;283;23;22528;3409672;1962625
2944;0.2360000163;2070;304;16;23552;3584606;2080578
3072;0.2480000108;2205;300;13;24576;3760388;2200688
3200;0.2440000176;2465;333;22;25600;3936984;2255956
3328;0.2860000134;2570;295;20;26624;4114360;2313347
3456;0.5570000410;2564;270;16;27648;4292488;2370755
3584;0.3840000033;3042;372;21;28672;4471338;2430322
3712;0.2740000188;3089;336;24;29696;4650885;2487747
3840;0.2780000269;3121;339;18;30720;4831104;2547313
3968;0.5420000553;3216;318;16;31744;5011975;2606898
4096;0.2939999998;3377;303;16;32768;5193475;2668640
4224;0.3270000219;3721;338;17;33792;5375585;2785530
4352;0.4740000367;3951;317;21;34816;5558286;2904488
4480;0.3240000010;4070;323;13;35840;5741561;3023465
4608;0.3430000246;4360;309;18;36864;5925394;3144599
4736;0.3590000272;4549;370;18;37888;6109769;3263593
4864;0.3710000217;4815;298;11;38912;6294671;3384727
4992;0.3830000162;4927;343;18;39936;6480087;3505880
5120;0.4200000167;5219;327;21;40960;6666003;3629190
5248;0.4130000174;5374;362;21;41984;6852407;3748202
5376;0.4360000193;5596;345;22;43008;7039287;3869336
5504;0.9260000587;5720;326;19;44032;7226631;3990489
5632;0.4470000267;6053;368;15;45056;7414429;4124548
5760;0.4630000293;6055;366;16;46080;7602671;4246102
5888;0.4750000238;6337;363;10;47104;7791347;4369796
6016;0.5170000196;6525;348;21;48128;7980446;4493509
6144;0.5320000052;6660;388;22;49152;8169961;4619379
6272;0.5570000410;6914;380;15;50176;8359883;4677865
6400;0.5160000324;7001;368;12;51200;8550202;4738455
