array_size;time_spent(s);PAPI_L1_TCM;PAPI_L2_TCM;PAPI_L3_TCM;DATA_BYTES;NUM_INSTRUCTIONS;PAPI_TOT_INS
2048;0.1469999999;967;866;356;16384;2380342;1265756
2176;0.1650000066;1196;1018;428;17408;2549223;1379428
2304;0.1740000099;1414;960;346;18432;2719253;1495186
2432;0.2530000210;1472;977;404;19456;2890366;1610963
2560;0.1970000118;1760;1083;426;20480;3062508;1728897
2688;0.2130000144;1846;1130;395;21504;3235625;1844691
2816;0.3050000072;2012;1125;459;22528;3409672;1962625
2944;0.2650000155;2126;1174;387;23552;3584606;2080578
3072;0.2520000041;2313;1338;584;24576;3760388;2200688
3200;0.3890000284;2406;1224;220;25600;3936984;2255956
3328;0.4020000100;2539;1245;222;26624;4114360;2313346
3456;0.3060000241;2889;1481;461;27648;4292488;2370756
3584;0.3130000234;2960;1743;466;28672;4471338;2430322
3712;0.3660000265;3318;2159;773;29696;4650885;2487748
3840;0.3250000179;3429;1654;511;30720;4831104;2547314
3968;0.3010000288;3222;1419;524;31744;5011975;2606898
4096;0.3090000153;3373;1444;493;32768;5193475;2668640
4224;0.3540000021;3894;1973;614;33792;5375585;2785531
4352;0.3400000036;3896;1635;569;34816;5558286;2904488
4480;0.3520000279;4109;1563;667;35840;5741561;3023465
4608;0.3570000231;4376;1649;703;36864;5925394;3144599
4736;0.3810000122;4638;1632;664;37888;6109769;3263593
4864;0.3890000284;4866;1734;841;38912;6294671;3384727
4992;0.4010000229;5044;1791;852;39936;6480087;3505880
5120;0.5290000439;5304;1796;701;40960;6666003;3629190
5248;0.6100000143;5412;1771;895;41984;6852407;3748202
5376;0.6060000062;5566;1888;736;43008;7039287;3869336
5504;0.6460000277;5705;1812;441;44032;7226631;3990489
5632;0.6290000081;6387;3112;923;45056;7414429;4124549
5760;0.5670000315;6406;2215;811;46080;7602671;4246102
5888;0.5160000324;6363;1892;449;47104;7791347;4369796
6016;0.5460000038;6675;2668;795;48128;7980446;4493510
6144;0.5210000277;6593;2000;426;49152;8169961;4619379
6272;0.5400000215;6934;2170;914;50176;8359883;4677865
6400;0.7750000358;6954;2011;546;51200;8550202;4738455
6528;0.7430000305;7171;2080;859;52224;8740912;4799064
6656;0.5630000234;7439;2147;862;53248;8932005;4861830
6784;0.8070000410;7483;2162;546;54272;9123472;4922456
6912;0.6260000467;7971;2340;1017;55296;9315308;4985223
7040;0.9610000253;8308;3583;383;56320;9507505;5048008
7168;0.7470000386;8156;2305;975;57344;9700057;5112949
7296;0.6440000534;8343;2334;527;58368;9892958;5173593
7424;0.5960000157;8599;2286;559;59392;10086201;5236359
7552;0.6060000062;8612;2401;485;60416;10279780;5299144
7680;0.7840000391;9166;2652;888;61440;10473690;5364086
7808;0.9610000253;9655;3146;973;62464;10667925;5426890
7936;0.6320000291;9283;2745;1112;63488;10862480;5491830
8064;0.6640000343;9576;2593;1192;64512;11057350;5556791
8192;0.6400000453;9498;2697;1230;65536;11252530;5623909
8320;1.0170000792;10337;3488;1088;66560;11448014;5744401
8448;1.1920000315;10419;4460;1103;67584;11643799;5866944
8576;1.0049999952;10941;4029;1347;68608;11839879;5989505
8704;0.7070000172;10876;2856;703;69632;12036250;6114222
8832;0.7190000415;10982;3062;1372;70656;12232909;6236800
8960;1.5790001154;11684;4407;1066;71680;12429850;6361519
9088;1.0090000629;11570;3855;1272;72704;12627070;6486256
9216;0.7450000644;11809;2876;1278;73728;12824565;6613149
9344;1.4920001030;11989;3264;627;74752;13022331;6735745
9472;0.7890000343;12397;2915;1204;75776;13220364;6860463
9600;1.6510000229;12846;5105;1211;76800;13418661;7139579
9728;0.8140000105;12939;3356;1268;77824;13617218;7112094
9856;0.9400000572;12993;3351;713;78848;13816031;7398393
9984;0.8840000629;13787;3814;1369;79872;14015098;7528872
