array_size;time_spent(s);PAPI_L1_TCM;PAPI_L2_TCM;PAPI_L3_TCM;DATA_BYTES;NUM_INSTRUCTIONS;PAPI_TOT_INS
2048;0.1780000031;496;574;369;16384;1468006400;779146
2176;0.1830000132;525;627;123;17408;1657241600;820309
2304;0.2020000070;515;557;308;18432;1857945600;892466
2432;0.2070000172;529;571;321;19456;2070118400;918713
2560;0.2140000165;562;643;315;20480;2293760000;958068
2688;0.2350000143;581;643;224;21504;2528870400;1050256
2816;0.3190000057;999;1160;288;22528;2775449600;1181229
2944;0.3150000274;616;627;369;23552;3033497600;1150234
3072;0.2660000026;680;740;375;24576;3303014400;1193589
3200;0.2830000222;643;682;400;25600;3584000000;1262167
3328;0.3630000055;1537;1366;471;26624;3876454400;1296889
3456;0.3050000072;709;708;261;27648;4180377600;1363125
3584;0.3200000226;725;733;274;28672;4495769600;1431479
3712;0.3250000179;772;809;313;29696;4822630400;1461311
3840;0.3710000217;798;852;256;30720;5160960000;1672166
3968;0.3600000143;843;828;273;31744;5510758400;1624846
4096;0.3520000279;807;806;312;32768;5872025600;1580611
4224;0.3730000257;885;854;534;33792;6244761600;1667185
4352;0.4360000193;1544;1529;742;34816;6628966400;1714431
4480;0.5320000052;1511;1187;593;35840;7024640000;1832987
4608;0.4130000174;1249;866;542;36864;7431782400;1861444
4736;0.4230000079;1059;950;612;37888;7850393600;1904033
4864;0.4290000200;1385;990;611;38912;8280473600;1924168
4992;1.1830000877;1153;982;644;39936;8722022400;1974111
5120;0.7720000148;1328;968;578;40960;9175040000;2071555
5248;0.4680000246;1323;1034;668;41984;9639526400;2110278
5376;0.5730000138;1341;1075;699;43008;10115481600;2144711
5504;0.4900000095;1513;1030;651;44032;10602905600;2200765
5632;0.5060000420;1385;1022;661;45056;11101798400;2283626
5760;0.5090000033;1464;1116;807;46080;11612160000;2300205
5888;0.5279999971;1931;1120;685;47104;12133990400;2389214
6016;0.5560000539;1614;1099;755;48128;12667289600;2518852
6144;0.6270000339;2308;1482;795;49152;13212057600;2545022
6272;0.5810000300;2369;1175;818;50176;13768294400;2625359
6400;0.5830000043;1932;1150;812;51200;14336000000;2643721
6528;0.5810000300;2046;1192;810;52224;14915174400;2616699
6656;0.6080000401;2123;1188;853;53248;15505817600;2737653
6784;0.6170000434;2467;1222;854;54272;16107929600;2778348
6912;0.6280000210;2260;1242;802;55296;16721510400;2842412
7040;0.6410000324;1956;1244;469;56320;17346560000;2898194
7168;0.6590000391;2076;1288;868;57344;17983078400;2980224
7296;0.6600000262;2277;1258;913;58368;18631065600;2979764
7424;0.6780000329;2668;1282;606;59392;19290521600;3061805
7552;0.7070000172;3316;1313;915;60416;19961446400;3207829
7680;0.7110000253;2597;1428;919;61440;20643840000;3217930
7808;0.7230000496;3210;1371;363;62464;21337702400;3274047
7936;0.7120000124;2626;1424;1028;63488;22043033600;3215947
8064;0.7650000453;4443;1510;1061;64512;22759833600;3477131
8192;0.8810000420;3686;1808;985;65536;23488102400;3619036
8320;0.7890000343;3963;1452;1085;66560;24227840000;3580192
8448;0.8490000367;3532;1972;402;67584;24979046400;3599212
8576;0.9860000610;3147;1446;996;68608;25741721600;3617532
8704;0.8100000620;2956;1567;1067;69632;26515865600;3673198
8832;0.8450000286;3817;1478;1150;70656;27301478400;3729600
8960;0.8420000672;3331;1883;1063;71680;28098560000;3667882
9088;0.8560000658;3689;1458;1048;72704;28907110400;3893788
9216;0.8760000467;3821;1703;1012;73728;29727129600;3843066
9344;0.8790000677;4213;1661;1159;74752;30558617600;3976677
9472;0.9250000715;3888;2639;1274;75776;31401574400;3930704
9600;0.8600000143;3492;1620;1202;76800;32256000000;3888449
9728;0.9600000381;5196;1823;1201;77824;33121894400;4212972
9856;0.9190000296;3772;1671;658;78848;33999257600;4169379
9984;0.9770000577;4522;1897;1217;79872;34888089600;4164576
10112;0.9390000701;3916;1683;1174;80896;35788390400;4273711
10240;0.9400000572;3980;1654;1140;81920;36700160000;4261897
10368;0.9630000591;4274;1641;663;82944;37623398400;4381803
10496;1.0140000582;5248;2073;1235;83968;38558105600;4448513
10624;1.0010000467;4103;1757;1248;84992;39504281600;4553681
10752;3.5820002556;7167;2217;1540;86016;40461926400;4773812
10880;0.9980000257;4521;1743;633;87040;41431040000;4538463
11008;1.0140000582;4115;1783;646;88064;42411622400;4585533
11136;1.0360000134;4912;1819;731;89088;43403673600;4706994
11264;1.0920000076;4957;1839;796;90112;44407193600;4988671
11392;1.1190000772;5453;2268;1514;91136;45422182400;4932315
11520;1.0680000782;4578;1945;1360;92160;46448640000;4850988
11648;1.1290000677;6801;1812;716;93184;47486566400;5145888
11776;1.1870000362;6339;2781;678;94208;48535961600;5094133
11904;1.1200000048;5208;1828;851;95232;49596825600;5076400
12032;1.1100000143;5103;1905;747;96256;50669158400;5051237
12160;1.2270001173;8442;1961;1432;97280;51752960000;5607221
12288;1.1400001049;4834;1973;1432;98304;52848230400;5170895
12416;1.1529999971;5529;1928;1450;99328;53954969600;5228167
12544;1.2240000963;7491;2272;656;100352;55073177600;5440914
12672;1.1880000830;6322;1995;596;101376;56202854400;5411579
12800;1.2190001011;5384;2006;1071;102400;57344000000;5536425
12928;1.2690000534;6433;3239;1244;103424;58496614400;5528688
13056;1.2440000772;6926;2050;785;104448;59660697600;5676056
13184;1.2820000648;7837;2051;872;105472;60836249600;5853530
13312;1.3590000868;7742;3010;985;106496;62023270400;5825373
13440;1.2890000343;5918;2550;951;107520;63221760000;5719250
13568;1.2880001068;6887;2157;1846;108544;64431718400;5873797
13696;1.3430000544;8086;2237;1879;109568;65653145600;6130644
13824;1.3730000257;7881;2779;570;110592;66886041600;6011324
13952;1.3350000381;7555;2161;958;111616;68130406400;6074092
14080;1.3470001221;6618;2247;1729;112640;69386240000;6136563
14208;1.3730000257;8034;2203;1026;113664;70653542400;6275121
14336;1.3930000067;7836;3283;964;114688;71932313600;6207478
14464;1.4370000362;9519;2262;1091;115712;73222553600;6557004
14592;1.3880000114;6206;2451;1857;116736;74524262400;6316889
14720;1.4230000973;7141;3022;753;117760;75837440000;6343817
14848;1.4820001125;8592;3165;983;118784;77162086400;6497729
14976;1.4090000391;6552;2376;1789;119808;78498201600;6415889
15104;1.4410001040;7911;2438;1602;120832;79845785600;6584228
15232;1.5010000467;7381;4353;1374;121856;81204838400;6462403
15360;1.5030000210;8094;2787;1196;122880;82575360000;6710367
15488;1.5530000925;11910;2642;1896;123904;83957350400;7103949
15616;1.5190000534;10257;2454;1789;124928;85350809600;6934453
15744;1.4730000496;7606;2553;1824;125952;86755737600;6705776
