array_size;time_spent(s);PAPI_L1_TCM;PAPI_L2_TCM;PAPI_L3_TCM;DATA_BYTES;NUM_INSTRUCTIONS;PAPI_TOT_INS
2048;0.3180000186;455;179;23;16384;1468006400;779146
2176;0.3340000212;503;217;26;17408;1657241600;820309
2304;0.1650000066;508;189;25;18432;1857945600;892466
2432;0.1720000058;502;182;17;19456;2070118400;918713
2560;0.1860000044;499;211;16;20480;2293760000;958068
2688;0.2090000063;577;231;21;21504;2528870400;1050256
2816;0.4750000238;592;200;26;22528;2775449600;1181228
2944;0.3000000119;578;189;14;23552;3033497600;1150234
3072;0.4850000143;634;186;24;24576;3303014400;1193589
3200;0.2340000123;649;185;26;25600;3584000000;1262167
3328;0.5230000019;670;185;15;26624;3876454400;1296888
3456;0.4040000141;693;248;25;27648;4180377600;1363125
3584;0.2730000019;693;186;25;28672;4495769600;1431479
3712;0.2770000100;723;250;21;29696;4822630400;1461311
3840;0.2980000079;784;205;24;30720;5160960000;1672166
3968;0.3370000124;802;204;25;31744;5510758400;1624846
4096;0.2930000126;792;185;28;32768;5872025600;1580611
4224;0.3080000281;861;253;24;33792;6244761600;1667185
4352;0.3170000017;885;223;12;34816;6628966400;1714431
4480;0.5910000205;1060;228;12;35840;7024640000;1832986
4608;0.3250000179;1294;231;9;36864;7431782400;1861456
4736;0.3710000217;1083;232;20;37888;7850393600;1904033
4864;0.7030000091;1498;256;17;38912;8280473600;1924169
4992;0.3360000253;1140;245;27;39936;8722022400;1974111
5120;0.4040000141;1315;207;22;40960;9175040000;2071555
5248;0.4140000343;1257;241;22;41984;9639526400;2110278
5376;0.3930000067;1279;252;19;43008;10115481600;2144711
5504;0.4300000072;1503;250;25;44032;10602905600;2200765
5632;0.9200000167;1360;265;20;45056;11101798400;2283626
5760;0.8160000443;1405;241;15;46080;11612160000;2300205
5888;0.4390000105;1895;253;21;47104;12133990400;2389214
6016;0.5060000420;1566;242;14;48128;12667289600;2518852
6144;0.4660000205;2058;286;41;49152;13212057600;2545021
6272;0.4800000191;2304;227;19;50176;13768294400;2625359
6400;0.4990000129;1871;253;32;51200;14336000000;2643721
6528;0.5120000243;1991;236;20;52224;14915174400;2616699
6656;1.1700000763;2422;415;27;53248;15505817600;2737654
6784;0.9620000720;2612;375;9;54272;16107929600;2778349
6912;1.1330000162;2263;253;16;55296;16721510400;2842412
7040;0.5820000172;1943;289;9;56320;17346560000;2898194
7168;0.5980000496;2028;265;6;57344;17983078400;2980224
7296;0.7730000615;2591;314;12;58368;18631065600;2979765
7424;0.5700000525;3050;333;6;59392;19290521600;3061806
7552;1.1529999971;3359;313;15;60416;19961446400;3207830
7680;0.5400000215;2537;283;20;61440;20643840000;3217930
7808;0.6550000310;3135;331;20;62464;21337702400;3274047
7936;0.6430000067;2591;289;14;63488;22043033600;3215947
8064;0.7650000453;4395;330;21;64512;22759833600;3477131
8192;0.7940000296;3509;325;25;65536;23488102400;3619035
8320;0.6510000229;3973;341;18;66560;24227840000;3580192
8448;0.7150000334;3218;327;26;67584;24979046400;3599211
8576;0.6570000052;3124;312;20;68608;25741721600;3617532
8704;0.9810000658;2917;318;25;69632;26515865600;3673198
8832;0.6980000138;3819;343;25;70656;27301478400;3729600
8960;0.9490000606;3258;355;22;71680;28098560000;3667882
9088;0.7310000062;3706;331;20;72704;28907110400;3893788
9216;0.7340000272;3791;401;13;73728;29727129600;3843067
9344;0.7290000319;4161;338;21;74752;30558617600;3976677
9472;0.7180000544;3496;313;18;75776;31401574400;3930703
9600;1.4930000305;3760;380;19;76800;32256000000;3888450
9728;0.7100000381;4802;331;12;77824;33121894400;4212971
9856;0.8620000482;3705;324;14;78848;33999257600;4169379
9984;1.0500000715;4290;356;11;79872;34888089600;4164576
10112;0.7980000377;3848;377;12;80896;35788390400;4273711
10240;0.8050000668;4209;466;15;81920;36700160000;4261898
10368;0.7960000634;4308;399;27;82944;37623398400;4381804
10496;0.8090000153;4749;344;13;83968;38558105600;4448512
10624;0.8780000210;4021;378;23;84992;39504281600;4553681
10752;0.9200000167;6965;398;19;86016;40461926400;4773811
10880;1.8040001392;4481;380;16;87040;41431040000;4538463
11008;1.3260000944;4047;365;22;88064;42411622400;4585533
11136;0.8350000381;4862;345;22;89088;43403673600;4706994
11264;1.8690000772;5085;427;16;90112;44407193600;4988672
11392;0.8320000172;5262;398;11;91136;45422182400;4932314
11520;0.9660000205;4575;389;23;92160;46448640000;4850988
11648;0.9630000591;6797;418;15;93184;47486566400;5145888
11776;0.9040000439;6145;397;21;94208;48535961600;5094132
11904;2.0160000324;5702;568;18;95232;49596825600;5076401
12032;0.9190000296;5050;379;10;96256;50669158400;5051237
12160;1.0140000582;8487;356;16;97280;51752960000;5607221
12288;0.9360000491;4816;400;25;98304;52848230400;5170895
12416;0.9860000610;5521;448;25;99328;53954969600;5228167
