array_size;time_spent(s);PAPI_L1_TCM;PAPI_L2_TCM;PAPI_L3_TCM;DATA_BYTES;NUM_INSTRUCTIONS;PAPI_TOT_INS
2048;0.2880000174;1011;273;81;16384;2380342;1305716
2176;0.2040000111;1155;264;14;17408;2549223;1422656
2304;0.2470000088;1310;271;23;18432;2719253;1541805
2432;0.2810000181;1479;275;20;19456;2890366;1660974
2560;0.1490000039;1829;286;23;20480;3062508;1782427
2688;0.1600000113;1836;299;13;21504;3235625;1901614
2816;0.1690000147;2031;291;19;22528;3409672;2023067
2944;0.1810000092;2182;302;14;23552;3584606;2144540
3072;0.1880000085;2222;275;16;24576;3760388;2268297
3200;0.1940000057;2422;292;21;25600;3936984;2325679
3328;0.2250000089;3035;480;19;26624;4114360;2385308
3456;0.2070000172;2660;334;20;27648;4292488;2444957
3584;0.2090000063;2831;334;22;28672;4471338;2506890
3712;0.2140000165;3157;304;18;29696;4650885;2566557
3840;0.2190000117;3144;284;20;30720;4831104;2628490
3968;0.2240000069;3318;318;20;31744;5011975;2690443
4096;0.2420000136;4025;473;22;32768;5193475;2754681
4224;0.2830000222;4728;620;22;33792;5375585;2874967
4352;0.4110000134;3940;323;97;34816;5558286;2997444
4480;0.4810000360;4045;314;12;35840;5741561;3119941
4608;0.2700000107;4440;355;17;36864;5925394;3244722
4736;0.3850000203;4580;330;20;37888;6109769;3367237
4864;0.2910000086;4867;342;23;38912;6294671;3492018
4992;0.3010000288;5022;377;20;39936;6480087;3616819
5120;0.3320000172;5436;385;19;40960;6666003;3743905
5248;0.3360000253;5473;358;18;41984;6852407;3866438
5376;0.3310000300;5569;332;12;43008;7039287;3991219
5504;0.3410000205;5766;350;14;44032;7226631;4116020
5632;0.3520000279;6050;338;19;45056;7414429;4253854
5760;0.3630000055;6164;359;15;46080;7602671;4379057
5888;0.3730000257;6400;378;19;47104;7791347;4506526
6016;0.3870000243;6645;455;13;48128;7980446;4634016
6144;0.3920000196;6653;409;22;49152;8169961;4763788
6272;0.4010000229;6913;370;34;50176;8359883;4824517
6400;0.4060000181;7016;386;18;51200;8550202;4887474
6528;0.8690000176;7253;484;17;52224;8740912;4950451
6656;0.4170000255;7505;413;19;53248;8932005;5015712
6784;0.5160000324;7684;424;15;54272;9123472;5078707
6912;0.6140000224;8228;751;27;55296;9315308;5143970
7040;0.8690000176;8072;466;24;56320;9507505;5209249
7168;0.4420000315;8410;566;19;57344;9700057;5276815
7296;0.4730000198;8472;459;23;58368;9892958;5339828
7424;0.6790000200;8428;404;16;59392;10086201;5405089
7552;0.6200000048;9403;986;20;60416;10279780;5470370
7680;0.4580000341;9221;464;14;61440;10473690;5537935
7808;0.8160000443;9228;490;19;62464;10667925;5603234
7936;0.4690000117;9300;442;23;63488;10862480;5670799
8064;0.4750000238;9622;495;20;64512;11057350;5738396
8192;0.8370000124;10384;902;13;65536;11252530;5808255
8320;0.6170000434;10110;443;15;66560;11448014;5932271
8448;0.6310000420;10246;558;36;67584;11643799;6058460
8576;0.5150000453;10779;486;14;68608;11839879;6184669
8704;0.5279999971;11034;529;37;69632;12036250;6313162
8832;0.6590000391;14960;1503;133;70656;12232909;6439389
8960;0.5460000038;11403;456;33;71680;12429850;6567882
9088;0.5590000153;11712;597;26;72704;12627070;6696395
9216;0.9150000215;11914;523;31;73728;12824565;6827192
9344;0.8760000467;12061;610;10;74752;13022331;6953438
9472;1.2910000086;12418;606;11;75776;13220364;7081931
9600;0.6040000319;12609;804;16;76800;13418661;7210445
9728;0.6190000176;13098;629;15;77824;13617218;7341242
9856;0.6400000453;13243;692;21;78848;13816031;7631307
9984;0.6470000148;13609;590;10;79872;14015098;7765688
10112;1.1260000467;14013;815;21;80896;14214416;7900090
10240;1.0930000544;14493;761;46;81920;14413980;8036775
10368;0.6800000072;14312;714;19;82944;14613788;8166623
10496;1.4460000992;14633;727;19;83968;14813837;8298700
10624;0.7120000124;14928;844;55;84992;15014124;8430798
10752;0.7670000196;15132;727;15;86016;15214646;8565178
10880;0.7250000238;15279;737;33;87040;15415401;8697293
11008;0.7370000482;15450;702;27;88064;15616385;8831674
11136;1.5620000362;15589;707;16;89088;15817596;8966075
11264;0.7570000291;15983;747;52;90112;16019031;9102760
11392;1.6040000916;16046;670;131;91136;16220688;9234894
11520;0.7780000567;16233;702;14;92160;16422564;9369275
11648;0.7880000472;16284;733;18;93184;16624657;9503676
11776;0.8010000587;16735;764;19;94208;16826964;9640361
11904;0.8110000491;16709;717;24;95232;17029484;9774780
12032;0.8190000653;17222;687;13;96256;17232213;9911465
12160;0.8320000172;17320;755;12;97280;17435150;10048170
12288;0.8380000591;17277;724;14;98304;17638292;10187159
12416;0.9020000696;18094;1014;15;99328;17841637;10251236
12544;0.8920000196;18000;911;13;100352;18045184;10317521
12672;0.8650000691;18182;733;13;101376;18248930;10383825
12800;0.8690000176;18533;751;23;102400;18452872;10452414
12928;0.8780000210;18502;760;14;103424;18657010;10518737
13056;0.8820000291;18938;864;19;104448;18861342;10587326
13184;0.8850000501;19145;791;14;105472;19065864;10655935
13312;0.8970000148;19575;1014;18;106496;19270576;10726829
13440;1.8740000725;19581;829;17;107520;19475475;10793170
13568;0.9060000181;19474;887;13;108544;19680561;10861759
13696;0.9090000391;19751;746;11;109568;19885830;10930368
13824;0.9160000682;20347;858;25;110592;20091282;11001261
13952;0.9210000634;20446;861;20;111616;20296914;11069888
14080;0.9740000367;20506;1007;31;112640;20502726;11140781
14208;0.9720000625;20625;994;16;113664;20708715;11211694
14336;1.0590000153;21580;1010;13;114688;20914879;11284892
14464;0.9380000234;21497;932;21;115712;21121218;11351252
14592;1.4810000658;21637;846;20;116736;21327729;11419841
14720;1.5380001068;23940;1695;16;117760;21534412;11488451
14848;0.9610000253;22238;887;31;118784;21741264;11559343
14976;1.3620001078;22765;882;19;119808;21948285;11627970
15104;0.9710000753;22369;892;12;120832;22155472;11698863
15232;1.3340001106;23078;1018;21;121856;22362825;11769777
15360;0.9830000401;23633;1016;58;122880;22570342;11842974
15488;1.5490000248;23205;1061;12;123904;22778021;11911620
15616;1.5270000696;23335;1022;13;124928;22985861;11982513
15744;2.7370002270;23722;991;57;125952;23193862;12053425
15872;1.8500001431;24737;1102;25;126976;23402021;12126623
16000;1.0110000372;23562;1019;15;128000;23610337;12197553
16128;1.2390000820;25045;1108;17;129024;23818810;12270751
16256;1.0210000277;24821;949;22;130048;24027437;12343967
16384;1.0060000420;24587;912;28;131072;24236218;12190053
16512;1.0220000744;24995;1009;23;132096;24445152;12317419
16640;1.4640001059;25778;906;22;133120;24654236;12446936
16768;1.4570000172;26566;1289;36;134144;24863471;12576473
16896;1.0580000877;26514;977;16;135168;25072855;12708293
17024;1.0690000057;26498;889;17;136192;25282387;12837849
17152;1.0780000687;27076;966;22;137216;25492065;12969670
17280;1.0890001059;27121;889;23;138240;25701889;13101510
17408;1.6650000811;27136;971;38;139264;25911857;13235635
17536;1.1200000048;27695;1275;22;140288;26121969;13365211
17664;1.1200000048;27702;880;20;141312;26332223;13497031
17792;1.7160000801;28217;1055;18;142336;26542619;13628871
17920;1.8540000916;28372;1025;19;143360;26753155;13762996
18048;1.1500000954;28531;971;13;144384;26963831;13894856
18176;1.1600000858;28927;914;11;145408;27174645;14028981
18304;2.4380002022;29109;1106;20;146432;27385596;14163125
18432;2.3400001526;29299;1087;25;147456;27596684;14299554
18560;1.3700001240;29675;1024;13;148480;27807907;14429148
18688;1.9660000801;30124;1240;50;149504;28019265;14560970
18816;2.1320002079;30263;1148;36;150528;28230756;14692809
18944;1.9280000925;30716;1240;13;151552;28442380;14826935
19072;1.2360000610;30791;1054;22;152576;28654136;14958794
19200;1.2460000515;30834;1153;20;153600;28866023;15092919
19328;1.2540000677;31317;998;18;154624;29078040;15227063
19456;2.5320000648;31538;1053;47;155648;29290186;15363492
19584;1.4460000992;32368;2047;18;156672;29502461;15495374
19712;1.2880001068;32256;1063;16;157696;29714863;15629496
19840;1.2970000505;32550;1135;22;158720;29927392;15763640
19968;1.3070000410;32775;1004;20;159744;30140047;15900069
20096;1.3650000095;33514;1493;32;160768;30352827;16034234
20224;1.3280000687;33374;1065;18;161792;30565731;16170662
20352;1.3580000401;33877;1268;29;162816;30778758;16307111
20480;1.3450000286;33816;1102;16;163840;30991909;16445843
20608;1.6190000772;33891;1306;61;164864;31205181;16575456
20736;1.3720000982;34191;1185;21;165888;31418574;16707277
20864;1.3920000792;34747;1304;16;166912;31632088;16839118
20992;1.4600000381;35565;1917;38;167936;31845722;16973242
21120;2.0000000000;35306;1891;22;168960;32059474;17105104
21248;1.9500000477;35338;1175;23;169984;32273345;17239227
21376;2.1920001507;35821;1394;15;171008;32487334;17373372
21504;2.0520000458;36179;1479;15;172032;32701439;17509801
21632;1.4620000124;36376;1267;48;173056;32915660;17641680
21760;1.6250001192;36882;1598;29;174080;33129997;17775806
21888;2.6090002060;36961;1413;18;175104;33344449;17909949
22016;1.4900001287;36962;1379;12;176128;33559014;18046378
22144;1.4920001030;36976;1264;15;177152;33773694;18180541
22272;2.6520001888;37253;1370;45;178176;33988485;18316971
22400;2.7790000439;37668;1505;50;179200;34203390;18453419
22528;1.5560001135;37842;1403;68;180224;34418405;18592151
22656;2.3640000820;38298;1824;30;181248;34633532;18724051
22784;2.8420002460;38735;1667;15;182272;34848768;18858175
22912;1.5610001087;38251;1492;16;183296;35064114;18992318
23040;1.7410000563;39007;1471;21;184320;35279570;19128748
23168;2.7000000477;39057;1619;21;185344;35495133;19262912
23296;2.4170000553;39327;1445;22;186368;35710805;19399341
23424;1.5990000963;39368;1328;18;187392;35926584;19535788
23552;1.6130000353;39669;1234;17;188416;36142469;19674521
23680;2.2430000305;40359;1520;33;189440;36358460;19808705
23808;2.6550002098;40255;1275;39;190464;36574557;19945133
23936;2.5860002041;40996;1853;45;191488;36790759;20081583
24064;2.9940001965;41695;2443;23;192512;37007065;20220315
24192;1.8110001087;41606;1935;32;193536;37223475;20356784
24320;1.6940001249;41757;1820;16;194560;37439988;20495515
24448;2.3270001411;41907;1950;40;195584;37656604;20634268
24576;2.2690000534;41213;1672;23;196608;37873322;20775305
24704;2.6710002422;41548;1936;16;197632;38090141;20842729
24832;2.4330000877;42575;1782;16;198656;38307062;20912342
24960;1.7990001440;42460;1518;13;199680;38524083;20981973
25088;2.9150002003;42919;1690;48;200704;38741205;21053890
25216;4.9140000343;43485;2023;88;201728;38958426;21123544
25344;2.0720000267;43247;1578;32;202752;39175746;21195459
25472;1.7520000935;43986;1749;17;203776;39393164;21267396
25600;1.7610000372;44135;1766;14;204800;39610681;21341617
25728;1.7600001097;43937;1650;44;205824;39828295;21411287
25856;3.1180000305;44599;1736;49;206848;40046006;21483205
25984;3.0150001049;44874;1819;77;207872;40263814;21555141
26112;3.0220000744;45140;1920;48;208896;40481717;21629362
26240;3.3920001984;45650;1777;46;209920;40699717;21701318
26368;1.8060001135;45266;1995;21;210944;40917812;21775539
26496;2.6290001869;45859;1663;59;211968;41136001;21849778
26624;2.4380002022;46283;2060;68;212992;41354285;21926304
26752;3.0660002232;46582;2679;33;214016;41572662;21995996
26880;2.8800001144;47671;2600;34;215040;41791133;22067911
27008;1.9900001287;47104;2254;27;216064;42009697;22139849
27136;2.6860001087;46791;1900;20;217088;42228353;22214067
27264;1.8390001059;47559;1738;21;218112;42447101;22286023
27392;2.2160000801;47769;1927;22;219136;42665941;22360245
27520;1.8960001469;47889;1899;19;220160;42884872;22434485
27648;1.8520001173;47871;1649;16;221184;43103894;22511009
