array_size;time_spent(s);PAPI_L1_TCM;PAPI_L2_TCM;PAPI_L3_TCM;DATA_BYTES;NUM_INSTRUCTIONS;PAPI_TOT_INS
2048;0.3240000010;462;209;145;16384;1468006400;763086
2176;0.2730000019;469;207;15;17408;1657241600;803389
2304;0.1350000054;474;186;14;18432;1857945600;874484
2432;0.2040000111;516;190;19;19456;2070118400;899783
2560;0.3020000160;529;214;22;20480;2293760000;938186
2688;0.2040000111;559;230;47;21504;2528870400;1029236
2816;0.1830000132;574;206;25;22528;2775449600;1159238
2944;0.3160000145;586;191;18;23552;3033497600;1127198
3072;0.2939999998;643;193;28;24576;3303014400;1169789
3200;0.4380000234;619;169;18;25600;3584000000;1237181
3328;0.1960000098;655;193;18;26624;3876454400;1271100
3456;0.2050000131;671;244;20;27648;4180377600;1336225
3584;0.5520000458;729;182;16;28672;4495769600;1403493
3712;0.3540000021;733;250;20;29696;4822630400;1432431
3840;0.3410000205;840;206;27;30720;5160960000;1642042
3968;0.2420000136;825;205;23;31744;5510758400;1593748
4096;0.3970000148;1267;255;78;32768;5872025600;1548600
4224;0.4550000131;833;302;173;33792;6244761600;1634379
4352;0.4430000186;1119;323;18;34816;6628966400;1680654
4480;0.3420000076;1101;233;30;35840;7024640000;1798124
4608;0.2780000269;1274;254;25;36864;7431782400;1825546
4736;0.2830000222;1024;221;13;37888;7850393600;1867055
4864;0.2880000174;1394;244;25;38912;8280473600;1886384
4992;0.2960000038;1141;243;25;39936;8722022400;1935167
5120;0.3070000112;1301;208;16;40960;9175040000;2031585
5248;0.3140000105;1251;241;30;41984;9639526400;2069346
5376;0.5509999990;1295;259;29;43008;10115481600;2102669
5504;0.5030000210;1750;320;13;44032;10602905600;2157876
5632;0.5320000052;1371;270;26;45056;11101798400;2239934
5760;0.3420000076;1411;247;26;46080;11612160000;2255503
5888;0.6850000620;2008;319;19;47104;12133990400;2343385
6016;0.5840000510;1812;339;25;48128;12667289600;2471834
6144;0.6100000143;2064;278;25;49152;13212057600;2497051
6272;0.3890000284;2345;262;47;50176;13768294400;2576363
6400;0.3910000324;1901;265;26;51200;14336000000;2594029
6528;0.3890000284;2009;302;82;52224;14915174400;2565749
6656;0.5360000134;2547;345;20;53248;15505817600;2685776
6784;0.5710000396;2935;518;61;54272;16107929600;2725325
6912;0.4170000255;2278;280;27;55296;16721510400;2788502
7040;0.4280000329;1962;296;23;56320;17346560000;2843148
7168;0.7460000515;2000;267;25;57344;17983078400;2924492
7296;0.5560000539;2739;499;20;58368;18631065600;2922913
7424;0.4550000131;2702;302;28;59392;19290521600;3003967
7552;0.4740000367;3304;313;107;60416;19961446400;3149135
7680;0.7730000615;2517;288;35;61440;20643840000;3158154
7808;0.4840000272;3106;350;102;62464;21337702400;3213393
7936;0.4760000110;2590;301;20;63488;22043033600;3154369
8064;0.9740000367;4411;328;68;64512;22759833600;3414302
8192;1.2560000420;4226;587;27;65536;23488102400;3555285
8320;0.8570000529;3926;337;18;66560;24227840000;3515624
8448;0.8650000691;3297;417;19;67584;24979046400;3533434
8576;0.9390000701;3095;306;17;68608;25741721600;3550796
8704;0.7220000625;3294;384;18;69632;26515865600;3605677
8832;0.8330000639;3835;363;28;70656;27301478400;3661042
8960;0.5410000086;3066;346;23;71680;28098560000;3598089
9088;1.1560000181;4226;587;27;72704;28907110400;3823244
9216;0.5670000315;3663;327;109;73728;29727129600;3771119
9344;0.6980000138;4146;355;60;74752;30558617600;3903921
9472;0.6920000315;3967;427;30;75776;31401574400;3857154
9600;0.5840000510;3877;418;60;76800;32256000000;3814025
9728;0.6210000515;4818;341;20;77824;33121894400;4137101
9856;0.6160000563;3716;332;18;78848;33999257600;4092953
9984;1.1940000057;4383;408;27;79872;34888089600;4087218
10112;0.8390000463;3890;363;29;80896;35788390400;4195045
10240;0.9520000219;3911;345;24;81920;36700160000;4181995
10368;0.9820000529;4670;470;48;82944;37623398400;4300966
10496;1.0310000181;4759;358;25;83968;38558105600;4366720
10624;0.6710000038;4060;396;20;84992;39504281600;4471137
10752;0.6980000138;6973;384;20;86016;40461926400;4690314
10880;1.4850000143;4513;356;18;87040;41431040000;4453739
11008;1.0620000362;4071;380;50;88064;42411622400;4499757
11136;0.6910000443;4892;349;32;89088;43403673600;4620324
11264;0.7310000062;5003;411;32;90112;44407193600;4900843
11392;1.4480000734;5353;411;23;91136;45422182400;4843432
11520;1.3860000372;4687;460;30;92160;46448640000;4761601
11648;1.1850000620;6796;396;26;93184;47486566400;5055230
11776;0.7450000644;6153;404;16;94208;48535961600;5002360
11904;0.7500000596;5195;410;24;95232;49596825600;4983722
12032;0.7440000176;5060;401;170;96256;50669158400;4957641
12160;0.8150000572;8519;391;18;97280;51752960000;5512729
12288;0.7590000629;4813;414;25;98304;52848230400;5075181
12416;0.7680000067;5542;458;48;99328;53954969600;5131521
12544;0.7960000634;7325;428;20;100352;55073177600;5343322
12672;0.8080000281;6635;474;67;101376;56202854400;5312753
12800;1.2330000401;5339;398;22;102400;57344000000;5436924
12928;1.2300000191;6114;414;28;103424;58496614400;5428291
13056;0.8320000172;6922;428;21;104448;59660697600;5574356
13184;1.5030000210;7795;416;31;105472;60836249600;5750376
13312;0.8530000448;7697;411;60;106496;62023270400;5721796
13440;1.7160000801;5905;759;22;107520;63221760000;5614230
13568;0.9690000415;6882;429;21;108544;64431718400;5768237
13696;1.0099999905;8103;460;53;109568;65653145600;6023874
13824;0.8850000501;7640;407;27;110592;66886041600;5903654
13952;0.8900000453;7581;444;36;111616;68130406400;5965698
14080;1.4670001268;6639;439;21;112640;69386240000;6027063
14208;1.2380000353;8368;543;21;113664;70653542400;6164660
14336;1.4360001087;7500;432;57;114688;71932313600;6096091
14464;0.9600000381;9550;465;23;115712;73222553600;6444308
14592;0.9250000715;6188;463;37;116736;74524262400;6202996
14720;1.1700000763;6823;442;24;117760;75837440000;6229444
14848;1.6140000820;8370;462;15;118784;77162086400;6382474
14976;1.1870000362;6557;457;23;119808;78498201600;6299497
15104;1.6730000973;8220;781;213;120832;79845785600;6466935
15232;0.9520000219;6868;465;20;121856;81204838400;6343880
15360;1.3060001135;8076;685;27;122880;82575360000;6590927
15488;2.0990002155;12319;1158;19;123904;83957350400;6983335
15616;1.2460000515;11100;744;12;124928;85350809600;6812778
